,df_1,df_2,df_3,df_4,df_5,df_6
0,1.3252959251403809,1.2748172283172607,1.6685497760772705,1.3170843124389648,1.3900949954986572,1.2501375675201416
1,1.3507893085479736,1.9522647857666016,1.6324660778045654,1.3554158210754397,1.374767541885376,1.1133370399475098
2,1.3533604145050049,1.3447279930114746,1.434478998184204,1.2504169940948486,1.1602704524993896,1.209205150604248
3,1.78519606590271,1.7050387859344482,1.254995822906494,1.2070984840393066,1.665112018585205,1.250356674194336
4,1.5738656520843506,2.0477755069732666,1.38171648979187,1.0909512042999268,1.1310889720916748,1.2111728191375732
5,1.4281585216522217,1.297435283660889,1.1785099506378174,1.4169540405273438,1.19511079788208,1.1770405769348145
6,1.0754761695861816,1.4772999286651611,1.0066297054290771,1.3188328742980957,1.5638935565948486,1.3477497100830078
7,1.2502789497375488,1.2295827865600586,1.2974834442138672,1.4799244403839111,1.1775567531585691,1.172196388244629
8,1.5131571292877195,1.338630199432373,1.1610679626464844,1.2731192111968994,1.358321189880371,2.068888902664185
9,1.2722649574279783,1.3688364028930664,1.3628687858581543,1.2221803665161133,1.2784135341644287,1.3934674263000488
10,1.3484444618225098,1.1337945461273191,1.2674403190612793,1.1538286209106443,1.177237033843994,1.1779043674468994
11,1.513892650604248,1.178262710571289,1.3258466720581057,1.148288011550903,1.2068028450012207,1.378659725189209
12,1.7608768939971924,1.1406817436218262,1.1424639225006104,1.5162370204925537,1.0974936485290527,1.62969970703125
13,1.4038958549499512,1.1370818614959717,1.0648040771484375,1.3147423267364502,1.003854274749756,1.6468720436096191
14,1.615978479385376,1.247046947479248,1.2047438621520996,1.270616054534912,1.237647294998169,1.3651468753814695
15,1.3592298030853271,1.0944416522979736,1.2595622539520264,1.034381866455078,1.316296100616455,1.421802282333374
16,1.2336812019348145,1.2196588516235352,1.2537715435028076,1.230414867401123,1.0170555114746094,1.9586727619171145
17,1.6665713787078855,1.5522949695587158,1.296051263809204,1.2260370254516602,1.17645263671875,1.3312649726867676
18,1.1345319747924805,1.3394296169281006,1.2031710147857666,1.367849349975586,1.1447927951812744,1.4251246452331543
19,1.7255868911743164,1.4003825187683103,1.1168229579925537,1.0553832054138184,1.030411958694458,1.8654439449310305
20,1.336512804031372,1.8055663108825684,1.1616122722625732,1.085700273513794,1.1891469955444336,1.334165096282959
21,1.4677722454071045,1.4437334537506104,1.2755277156829834,1.284534931182861,1.127882719039917,1.3346776962280271
22,1.227916240692139,1.5111639499664309,1.13153076171875,1.4376122951507568,1.1622402667999268,1.337484359741211
23,1.277065992355347,1.5033469200134275,1.2028818130493164,1.4869234561920166,1.6775946617126465,1.3472318649291992
24,1.6103227138519287,1.729413986206055,1.3688111305236816,1.537282943725586,1.3020453453063965,1.2842750549316406
25,1.5403132438659668,1.5487020015716553,1.2337305545806885,1.511526346206665,1.0652649402618408,1.1815416812896729
26,1.2499701976776123,1.1995174884796145,1.20438551902771,1.4167828559875488,1.0761940479278564,1.2316949367523191
27,1.1753387451171875,1.3203670978546145,1.0958614349365234,1.5264952182769775,1.2563390731811523,0.9880516529083252
28,1.1219635009765625,1.018913745880127,1.4313404560089111,1.3376805782318115,1.1738958358764648,1.177734375
29,1.1112661361694336,1.473031520843506,1.3342044353485107,1.208543062210083,1.404416561126709,1.7884032726287842
30,1.5187249183654783,1.2387332916259766,1.4606938362121582,1.3735575675964355,1.1597354412078855,1.115825891494751
31,,1.1805427074432373,1.233865737915039,1.356025457382202,1.4581458568572998,1.0711233615875244
32,,1.4569430351257324,1.288438081741333,1.6064400672912598,1.3019773960113523,0.9551081657409668
33,,1.3018200397491455,1.3343408107757568,1.832414150238037,1.0673387050628662,1.37166166305542
34,,1.6600069999694824,1.3471899032592771,1.6481554508209229,1.0200018882751465,1.326880693435669
35,,1.8317947387695312,1.333505630493164,1.2737822532653809,1.598745822906494,1.2366459369659424
36,,1.4596788883209229,1.288503646850586,1.4476439952850342,1.819140672683716,1.3339924812316897
37,,1.2349457740783691,1.4239826202392578,1.501802921295166,1.5042104721069336,1.2961642742156982
38,,1.569122314453125,1.6520893573760986,1.3860502243041992,1.6308791637420654,1.348116159439087
39,,1.318140745162964,1.1936910152435305,1.256286382675171,1.2722053527832031,1.4048168659210205
40,,1.284512996673584,1.290856122970581,1.2870919704437256,1.2854745388031006,1.4126687049865725
41,,1.5067696571350098,1.271493911743164,1.3035542964935305,1.582547664642334,1.2057998180389404
42,,1.347224473953247,1.1781413555145264,1.2090177536010742,1.5666489601135254,1.173475742340088
43,,1.3769607543945312,1.3534762859344482,1.2802870273590088,1.3945074081420898,1.9459903240203853
44,,1.0659582614898682,1.158616304397583,1.2364630699157717,1.391305685043335,1.483224391937256
45,,2.0019454956054688,1.1981844902038574,1.2262725830078125,2.100249767303467,1.540219783782959
46,,1.521233081817627,1.253955364227295,1.630817413330078,1.3647727966308594,2.150853157043457
47,,1.5034492015838623,1.268911838531494,1.6187074184417725,1.9129729270935056,1.4867630004882812
48,,1.4367058277130127,1.1487348079681396,1.1705427169799805,1.7782409191131592,1.338789463043213
49,,1.9906432628631592,1.1704015731811523,1.3660178184509275,1.5210328102111816,1.2425298690795898
50,,1.5100018978118896,1.2441282272338867,1.274568796157837,1.5132622718811035,1.2881832122802734
51,,1.5191090106964111,1.4612817764282229,1.1682512760162354,1.0642602443695068,1.3089087009429932
